layer	source	target	run	dist1	dist2	dist3	dist4	dist5	dist6-7	dist8-10	dist10-
2	fr	en	3	0.9234370697	0.9086363636	0.8528557599	0.8041474654	0.7186311787	0.6732026144	0.6787330317	0.5856697819
3	fr	en	3	0.9314238502	0.9295454545	0.9051306873	0.8202764977	0.7718631179	0.7777777778	0.7149321267	0.6448598131
4	fr	en	3	0.9399614431	0.9340909091	0.9293320426	0.8732718894	0.8441064639	0.8366013072	0.8687782805	0.7881619938
0	ru	en	3	0.7820452403	0.6485125858	0.541567696	0.4956521739	0.4981273408	0.3942028986	0.428	0.27
1	ru	en	3	0.8480207352	0.8338672769	0.7327790974	0.7217391304	0.7228464419	0.6724637681	0.62	0.4633333333
2	ru	en	3	0.8579170594	0.8439359268	0.7755344418	0.7739130435	0.7865168539	0.6985507246	0.712	0.64
3	ru	en	3	0.8609802074	0.8480549199	0.7660332542	0.7673913043	0.7752808989	0.7014492754	0.7	0.6166666667
4	ru	en	3	0.8548539114	0.8558352403	0.7945368171	0.7934782609	0.808988764	0.7536231884	0.768	0.6633333333
0	zh	en	3	0.6271454381	0.4391776128	0.3669527897	0.4069952305	0.3756218905	0.316344464	0.3348623853	0.2537091988
1	zh	en	3	0.6887985547	0.6813249572	0.6373390558	0.6518282989	0.6169154229	0.5922671353	0.5894495413	0.5014836795
2	zh	en	3	0.6912827462	0.7007424329	0.6620171674	0.6645468998	0.6517412935	0.6133567663	0.6513761468	0.5370919881
3	zh	en	3	0.7025745257	0.7281553398	0.6995708155	0.693163752	0.6990049751	0.6731107206	0.6972477064	0.6632047478
4	zh	en	3	0.7084462511	0.728726442	0.6942060086	0.7106518283	0.723880597	0.7100175747	0.7018348624	0.6810089021
