layer	source	target	run	acl	advcl	advmod	amod	appos	aux	case	cc	ccomp	clf	compound	conj	cop	csubj	dep	det	discourse	dislocated	expl	fixed	flat	goeswith	iobj	list	mark	nmod	nsubj	nummod	obj	obl	orphan	parataxis	reparandum	vocative	xcomp
0	en	ru	3	0.5823	0.3389	0.8193	0.7637	0.2573	0.8539	0.9265	0.9588	0.5161		0.5295	0.3167	0.8335	0.2051	0	0.9707	0.5747		0.8062	0.9231	0.581	0	0.5667	0.0611	0.8287	0.633	0.7234	0.768	0.5838	0.4851	0	0.0376	0	0	0.587
0	en	zh	3	0.5755	0.4052	0.7959	0.7674	0.1724	0.867	0.9242	0.9649	0.5103		0.518	0.2496	0.8425	0.1026	0	0.969	0.5269		0.8197	0.9449	0.5764	0	0.5294	0.1555	0.8227	0.6199	0.7218	0.768	0.5806	0.4605	0	0.0545	0	0	0.5886
0	en	en	3	0.3946	0.2581	0.753	0.6612	0.16	0.8158	0.8973	0.9638	0.4528		0.4384	0.1863	0.7983	0.1429	0	0.9648	0.5581		0.8403	0.9431	0.4384	0	0.5517	0.0615	0.7767	0.5345	0.6849	0.6998	0.4894	0.3707	0	0.0098	0	0	0.5122
1	en	ar	3	0.7898	0.6217	0.8804	0.8419	0.4691	0.9417	0.9647	0.9678	0.7066		0.7649	0.6972	0.9192	0.5263	0	0.9863	0.6383		0.8438	0.9593	0.6935	0.0952	0.7463	0.4929	0.9412	0.8358	0.9048	0.7802	0.8498	0.773	0	0.1371	0	0.3333	0.766
1	en	es	3	0.8184	0.662	0.8709	0.8366	0.4556	0.9411	0.9588	0.9622	0.7069		0.7731	0.7731	0.9122	0.375	0	0.989	0.5402		0.8667	0.9677	0.7463	0.087	0.5862	0.5137	0.9351	0.852	0.9234	0.7938	0.8576	0.8003	0	0.2885	0	0.3333	0.7919
1	en	fr	3	0.7684	0.583	0.8703	0.8279	0.3886	0.9361	0.9567	0.9677	0.6834		0.7364	0.7108	0.918	0.1935	0	0.9876	0.581		0.8448	0.958	0.7394	0.0952	0.7887	0.4696	0.9322	0.8202	0.8982	0.8055	0.8072	0.7239	0	0.1705	0	0.1739	0.7479
1	en	ru	3	0.7844	0.6619	0.8629	0.8045	0.4817	0.9313	0.951	0.9664	0.6883		0.7437	0.7413	0.9108	0.4242	0	0.9863	0.5989		0.8376	0.9524	0.6898	0.1429	0.6349	0.5152	0.9155	0.8425	0.9043	0.7899	0.8358	0.7812	0	0.2253	0	0.2609	0.7582
1	en	zh	3	0.8168	0.6694	0.8589	0.8081	0.4835	0.9419	0.9569	0.9678	0.6925		0.7487	0.7564	0.9166	0.5116	0	0.9836	0.6077		0.8525	0.9587	0.6971	0.2581	0.6765	0.5417	0.9341	0.8475	0.9209	0.7971	0.8545	0.8	0	0.2639	0	0.3846	0.7686
1	en	en	3	0.4874	0.3359	0.7923	0.7323	0.2204	0.8734	0.9258	0.9616	0.5229		0.6369	0.5374	0.825	0.0714	0	0.978	0.5587		0.8	0.9516	0.5778	0	0.6061	0.2416	0.8464	0.6749	0.7774	0.7528	0.6582	0.5463	0	0.0367	0	0.0952	0.6317
2	en	ar	3	0.8298	0.6886	0.8816	0.8398	0.5252	0.948	0.9677	0.9685	0.7245		0.7585	0.7797	0.9212	0.3784	0	0.9866	0.6082		0.832	0.9839	0.7839	0.3333	0.5172	0.5969	0.9443	0.8743	0.94	0.8055	0.8777	0.8403	0	0.3681	0	0.5	0.8093
